acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
91120.0,95.0,-0.05884032,55.39458,-151.70132,-8.128091,2.5942807,12.053264,-0.49604318,1.2109447,0.1997018,4.395603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91130.0,92.0,-0.09062036,55.711876,-151.67361,-9.056703,3.7865446,11.815169,-0.37693933,0.95732445,0.1492278,4.273503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91140.0,90.0,-0.08078488,56.04559,-151.779,-10.60195,4.3183665,10.698463,-0.22058924,0.80739844,0.075637214,3.9682527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91150.0,87.0,-0.012561935,56.40604,-151.97746,-13.19696,3.8478189,8.398554,0.006906145,0.73282707,-0.034182593,3.846152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91160.0,80.0,0.14052816,56.75674,-152.03476,-15.959366,2.5219922,6.5352044,0.17284213,0.70440984,-0.08977746,3.5409021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91170.0,72.0,0.4500694,57.00033,-151.7257,-17.544333,0.91013855,6.778473,0.18082316,0.6409597,-0.008553281,3.0525022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91180.0,66.0,0.9610467,57.07352,-151.01985,-17.38667,-0.71071404,8.153972,0.076488696,0.49006647,0.20604815,2.6251514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91190.0,55.0,1.5602194,57.138344,-150.1439,-16.255602,-1.8810776,9.17975,-0.03891145,0.28591734,0.44909006,2.075701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91200.0,44.0,2.1572402,57.575745,-149.25034,-14.865907,-2.214075,9.552191,-0.12421817,0.33420515,0.58047384,1.5262504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91210.0,40.0,2.7560513,58.564686,-148.25815,-13.200298,-2.3079247,8.898318,-0.19181603,0.7407994,0.6812746,1.1599501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
